IGHA2	-3.84666780226701
HLF	-3.49792183048498
FAM185BP	-3.13275124567659
AC008735.1	-2.93732123194324
TP53TG5	-2.86222684861696
IRF9	-2.84877523025046
CSF2	-2.5962521533951
TNR	-2.5887522919669
AL359513.1	-2.43972294240547
LRRC49	-2.43479337255675
AC122718.1	-2.34137001077358
ETV7	-2.31588598253992
RPS20P33	-2.30069328168586
AHRR	-2.29750335710756
ADAM11	-2.26590981604143
NMD3P1	-2.25492922600596
PLS3	-2.24161615540887
ONECUT2	-2.23238540760373
SNORA26	-2.22897043581069
UBE2L4	-2.20714162078573
FP671120.7	-2.17606521110369
ARL2BP	-2.17048978381815
SRSF1	-2.16203164567149
SMOC1	-2.16151152650567
AL033527.3	-2.13610053460644
AC011481.1	-2.13254870681674
IL12RB2	-2.12685188293156
PRRT2	-2.09688343825679
COL5A2	-2.09478045559429
TNIK	-2.09201673170132
MAP1A	-2.08244011412895
GLT8D2	-2.08228740883451
MANEA-DT	-2.08122582233819
AC117503.4	-2.07762934184799
DLEU2L	-2.06967030283431
SRSF2	-2.06154083978552
HNRNPA3P3	-2.06011221549592
MUC16	-2.05661579618487
AL139260.1	-2.03405244902696
CCN1	-2.02575483253088
FP671120.6	-2.02308886615944
RDH10	-2.02064897847481
LINC02728	-2.01862827047041
HNRNPA1P4	-2.01098507714588
JAG2	-2.00527819077385
AC046134.2	-2.00008231031943
IGKV6-21	-1.99670114412997
MAP3K20-AS1	-1.99484282128369
CEP295NL	-1.98694992909866
AC010624.3	-1.98582384496892
HMGN2P6	-1.97793304469013
GTF2IRD1P1	-1.97085775198532
PLGLB2	-1.95735323298586
NACAD	-1.9449567662681
AL158050.1	-1.93245449427953
HMGB1P6	-1.92438791885662
COL6A3	-1.92283249197078
EIF4E3	-1.92118830805551
HMGB1	-1.9168241820119
INSYN1	-1.9148546310904
NDST4	-1.91431964913443
SMIM4	-1.91329553472991
PKNOX2	-1.90881584265637
DMRTC1	-1.90867201340304
TTC39B	-1.89504539044365
AC068993.1	-1.88818475148877
AC095057.3	-1.88098690909797
NOL4L	-1.87989270166913
SETP9	-1.87813170748297
GJB2	-1.87264842715969
CDH26	-1.85944318439138
HMGN2P3	-1.85481966339826
CRIM1	-1.85396659091019
HACE1	-1.83994166176457
DNAJC6	-1.83822608383248
XPOTP1	-1.83158185983788
RN7SL1	-1.83152201995429
FP236383.5	-1.82957822841055
EIF1P3	-1.81913345689303
AL662907.2	-1.81209594958209
PRKG1	-1.81115181281769
AC138932.1	-1.81026427347236
DNAH11	-1.80733255915511
PHF10	-1.80438048995648
PDE3B	-1.80112904014069
SLC25A10	-1.79974221177623
KREMEN1	-1.79878961385313
MMP16	-1.79869606185279
TEX21P	-1.79124975162844
CAMK1	-1.7905575835247
ETV6	-1.78572168079794
DIP2C	-1.77464421181914
UCHL1	-1.77083087287355
AC009107.2	-1.77064852856659
MIPOL1	-1.76810289572942
RHEBP1	-1.76746854782298
GHRL	-1.76425018792037
ZNF366	-1.76227465958897
AL451123.1	-1.76010024663162
AC022149.1	-1.75886749823192
U2AF1L5	-1.75753120891585
RHEB	-1.74143765790536
RHEBP2	-1.73800375956467
PCBP3	-1.73545149596399
AL512791.1	-1.73373873536059
GYG2-AS1	-1.73253083265168
ARAP3	-1.73124439187565
ZNF654	-1.73050842201763
PURB	-1.72494998935585
AC016355.1	-1.72429133216757
PYGL	-1.72416957197138
AGAP1	-1.7181869935369
HPF1	-1.71558204059295
RPS6KA6	-1.71516049880244
AC137932.1	-1.71367600305072
TOP2B	-1.71037521472953
AC055811.4	-1.70591611327464
