pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.0163820261979771	0.507842812137291	0.412450952660837	1.55501560224273	493	42	ALDH7A1 GCK ENO2 ACSS2 FBP1 TPI1 GAPDH PGM2 ENO1 PKM ALDH3B1 PGK1 GPI ALDH2 PDHA1 GALM BPGM PGAM1 HK2 PGM1 PCK2 PFKP
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.646758595988539	0.999974682903365	-0.28741326133515	-0.87948352610318	43337	28	ACO1 SUCLG2P2 ACO2 SDHD DLST IDH1 PDHB SUCLG2
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.431801625921501	0.999974682903365	0.31059662792392	1.01121683842793	14818	23	FBP1 PGM2 PGD GPI TALDO1 PGLS PGM1 PFKP PFKL
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.984378817742014	0.999974682903365	-0.212570936491423	-0.500756600349788	60431	10	UGDH
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.944091843829982	0.999974682903365	-0.207491966901891	-0.648866941423506	63813	31	SORD GMDS FPGT MTMR1 KHK MTMR7 PMM2
KEGG_GALACTOSE_METABOLISM	0.902812355924389	0.999974682903365	-0.237049182996852	-0.676728898334828	58745	21	GALT GANC
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.420247705961992	0.999974682903365	0.428162222845815	1.02387885363441	16761	8	ALDH7A1 ALDH2
KEGG_FATTY_ACID_METABOLISM	0.13382385309562	0.999974682903365	0.349526452592507	1.25882542035025	4255	34	ALDH7A1 ACADS ACSL6 ACOX1 CPT1A EHHADH GCDH HADHB CPT1B ACADM ALDH2
KEGG_STEROID_BIOSYNTHESIS	0.876666296378583	0.999974682903365	0.235577320761336	0.705380716202068	31566	17	DHCR7 TM7SF2 SOAT2 NSDHL EBP LIPA
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.157523943238229	0.999974682903365	0.554924119159894	1.32700887809086	6282	8	CYP46A1 CYP27A1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.378864239398364	0.999974682903365	-0.399986655590506	-1.06830144420964	24130	16	SRD5A1 HSD17B6 STS CYP7B1 HSD17B7 AKR1C3
KEGG_OXIDATIVE_PHOSPHORYLATION	0.110154738878143	0.999974682903365	0.258907484423411	1.18767409899565	2277	117	NDUFA4L2 ATP5ME ATP6V0B ATP6V0E2 ATP6V1F NDUFA5 ATP5PD ATP6V0C NDUFB2 UQCRB ATP5F1D NDUFB3 NDUFC2 SDHB ATP6V0A1 NDUFB8 MT-ATP8 COX6B1 ATP6V1E1 ATP5MC1 ATP6V1B2 ATP6V1C1 SDHA NDUFS8 NDUFB9 NDUFS3 ATP6V1G1 SDHC NDUFB4 UQCRH COX17 COX6C NDUFV2 NDUFA1 ATP6V0E1 COX15 TCIRG1 ATP5F1E NDUFA10 COX5B NDUFV1 COX4I1 UQCRQ COX7A2
KEGG_PURINE_METABOLISM	0.215582309275778	0.999974682903365	-0.285560821548358	-1.13963126611256	17279	128	POLA1 POLR2J2 ADK ENPP1 POLR1B POLR3G POLR1D POLR2B POLR3GL NT5C3A ENTPD5 PDE8A PAPSS2 FHIT POLR3A NT5E ADCY3 PDE3B AK1 POLR1A POLR2J POLA2 PDE1B ENTPD4 ITPA ENTPD1 POLR1C PDE7A POLR2A PNP POLR3F ADSL ADCY7 CANT1 POLR2L NUDT9 POLE3 GUCY1A1 POLR2G ZNRD1 GMPS PRPS2 AMPD3 PFAS NME6 PDE9A DCK PDE4A
KEGG_PYRIMIDINE_METABOLISM	0.247876892477199	0.999974682903365	-0.297080113562438	-1.12818298549818	18942	89	POLA1 POLR2J2 UMPS DHODH POLR1B POLR3G POLR1D POLR2B POLR3GL NT5C3A ENTPD5 POLR3A UCK1 NT5E UCK2 POLR1A POLR2J POLA2 ENTPD4 ITPA DPYD ENTPD1 POLR1C POLR2A PNP POLR3F CANT1 POLR2L POLE3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.677926668983125	0.999974682903365	-0.287728169820059	-0.8572465728286	44873	25	GLS GOT1 CPS1 ABAT ASNS ADSL ALDH5A1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.941019746357505	0.999974682903365	-0.217420697100856	-0.634920031487359	61808	23	GATM AOC2 AOC3 SRR SARDH CHDH MAOA GNMT GCAT PSAT1 DLD PHGDH
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.745955010348526	0.999974682903365	-0.272255391457928	-0.811147554330104	49376	25	MTR ENOPH1 GOT1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.293317857735036	0.999974682903365	0.289567852562187	1.0917238176739	8844	42	ALDH7A1 ALDH6A1 ACADS IVD AOX1 IL4I1 EHHADH MMUT HADHB OXCT2 MCCC1 ACADM ALDH2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.936309948070461	0.999974682903365	0.241669398011581	0.599976580074005	36781	9	PDHA1 VARS1 IARS1 BCAT1
KEGG_LYSINE_DEGRADATION	0.873999368777437	0.999974682903365	-0.223109620152222	-0.740048055090824	60922	41	ASH1L SETD2 SETDB2 NSD3 SETD1A DLST SUV39H2 ACAT2 TMLHE AASDH ALDH9A1 ALDH1B1 SETDB1 SETD7
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.246206558981889	0.999974682903365	0.305117020547994	1.13196986721076	7544	39	ALDH7A1 AOC1 SAT1 AZIN2 SRM NAGS GAMT GLUL OAT P4HA1 ASS1 P4HA2 CKB ALDH2
KEGG_HISTIDINE_METABOLISM	0.385979161998656	0.999974682903365	0.343483020867591	1.04419152358185	13780	18	ALDH7A1 AOC1 HEMK1 LCMT1 METTL2B ALDH3B1 ALDH2 ACY3
KEGG_TYROSINE_METABOLISM	0.442387643006707	0.999974682903365	-0.34399290132885	-1.01493774122273	29155	24	TRMT11 HPD AOC2 METTL6 GOT1 NAA80 GSTZ1 ADH5 AOC3
KEGG_PHENYLALANINE_METABOLISM	0.174585851346289	0.999974682903365	-0.544082107133035	-1.28170252611218	10717	10	HPD AOC2 GOT1 NAA80 AOC3
KEGG_TRYPTOPHAN_METABOLISM	0.220421946156944	0.999974682903365	0.327967198409726	1.16412109447376	7114	32	ALDH7A1 AOC1 CYP1A1 AOX1 TPH2 IL4I1 EHHADH GCDH
KEGG_BETA_ALANINE_METABOLISM	0.945329555483302	0.999974682903365	-0.221320030142233	-0.617035601621598	61055	19	AOC2 ABAT DPYD HIBCH AOC3 ALDH9A1 ALDH1B1 UPB1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.208878996497403	0.999974682903365	-0.645062011921012	-1.23891652177222	12105	5	ADO
KEGG_SELENOAMINO_ACID_METABOLISM	0.900552654415907	0.999974682903365	-0.234247254780375	-0.684057573010135	59150	23	TRMT11 PAPSS2 METTL6 GGT1 MARS2 MAT2A SEPHS1
KEGG_GLUTATHIONE_METABOLISM	0.170533529123837	0.999974682903365	0.32399433612825	1.20200382458325	5225	39	ANPEP GCLM GSTM1 TXNDC12 SRM GSTM2 GPX1 IDH2 MGST3 GSS MGST1 GPX4 PGD OPLAH GSTO1 GGT7 RRM1 GSTM4
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.780520598854864	0.999974682903365	-0.264361475304225	-0.787628715096565	51664	25	ENPP1 UGDH GANC AMY2B PYGB PYGL GAA AGL ENPP3
KEGG_N_GLYCAN_BIOSYNTHESIS	0.655461827461544	0.999974682903365	-0.261295557409139	-0.886083096537635	46232	46	ALG11 ALG12 ALG1 DAD1 MOGS ALG6 ALG14 MAN2A1 RPN2 ALG10B ALG9 MAN1C1 ALG2 MAN1A2 ALG10 DPM2 MGAT5 MAN2A2 GANAB DPM1
